Time Period,UserID,Date,Value 1,,
Time A,123,1/1/2024,52.39855321,,"=NORM.INV(RAND(), 50, 10)"
Time A,123,1/2/2024,54.13811521,,
Time A,123,1/3/2024,58.61130849,,
Time A,123,1/4/2024,56.1459407,,
Time A,123,1/5/2024,42.37170919,,
Time A,123,1/6/2024,54.4627773,,
Time A,123,1/7/2024,65.86035258,,
Time A,123,1/8/2024,45.74470885,,
Time A,123,1/9/2024,56.5470761,,
Time A,123,1/10/2024,67.78571109,,
Time A,123,1/11/2024,60.20553216,,
Time A,123,1/12/2024,50.27426415,,
Time A,123,1/13/2024,48.74806408,,
Time A,123,1/14/2024,42.5597191,,
Time A,123,1/15/2024,63.02392904,,
Time A,123,1/16/2024,52.92163502,,
Time A,123,1/17/2024,56.24361446,,
Time A,123,1/18/2024,38.9221388,,
Time A,123,1/19/2024,63.280899,,
Time A,123,1/20/2024,59.03408904,,
Time A,124,1/1/2024,50.38633555,,"=NORM.INV(RAND(), 45, 8)"
Time A,124,1/2/2024,34.21895596,,
Time A,124,1/3/2024,51.6790592,,
Time A,124,1/4/2024,44.90475457,,
Time A,124,1/5/2024,46.2134858,,
Time A,124,1/6/2024,37.18802356,,
Time A,124,1/7/2024,44.97691245,,
Time A,124,1/8/2024,34.70295961,,
Time A,124,1/9/2024,50.41799522,,
Time A,124,1/10/2024,42.46906645,,
Time A,124,1/11/2024,39.63157051,,
Time A,124,1/12/2024,54.65749194,,
Time A,124,1/13/2024,49.62317412,,
Time A,124,1/14/2024,51.64619797,,
Time A,124,1/15/2024,48.48767128,,
Time A,124,1/16/2024,42.06232031,,
Time A,124,1/17/2024,51.46741756,,
Time A,124,1/18/2024,45.24406748,,
Time A,124,1/19/2024,27.81495327,,
Time A,124,1/20/2024,62.68438421,,
Time B,123,1/21/2024,44.21674342,,"=NORM.INV(RAND(), 45,6)"
Time B,123,1/22/2024,46.19762386,,
Time B,123,1/23/2024,36.1992971,,
Time B,123,1/24/2024,44.57445127,,
Time B,123,1/25/2024,44.31542371,,
Time B,123,1/26/2024,45.6434615,,
Time B,123,1/27/2024,50.92476079,,
Time B,123,1/28/2024,42.51839225,,
Time B,123,1/29/2024,43.16211565,,
Time B,123,1/30/2024,44.76704925,,
Time B,123,1/31/2024,40.24182587,,
Time B,124,1/21/2024,36.57852341,,"=NORM.INV(RAND(), 42,4)"
Time B,124,1/22/2024,46.66684893,,
Time B,124,1/23/2024,46.34360786,,
Time B,124,1/24/2024,36.95190306,,
Time B,124,1/25/2024,47.65658812,,
Time B,124,1/26/2024,41.47818591,,
Time B,124,1/27/2024,41.18292123,,
Time B,124,1/28/2024,39.73118961,,
Time B,124,1/29/2024,37.36986827,,
Time B,124,1/30/2024,49.08161585,,
Time B,124,1/31/2024,46.48757374,,
