,Date,UserID,Group,Engagement,CTR
0,2024-07-01,U0000000,Baseline,62.68166052835845,0.040497128560782414
1,2024-07-02,U0000000,Baseline,61.3070007249358,0.020694099048701925
2,2024-07-03,U0000000,Baseline,58.48785182648598,0.01716419249441098
3,2024-07-04,U0000000,Baseline,59.35355562765174,0.04425093565075117
4,2024-07-05,U0000000,Baseline,58.78071826261377,0.024733164811689818
5,2024-07-06,U0000000,Baseline,61.56089628232641,0.033714361855445796
6,2024-07-07,U0000000,Baseline,52.19910280949402,0.03705781760625775
7,2024-07-08,U0000000,Baseline,62.093793477685,0.04572639325897854
8,2024-07-09,U0000000,Baseline,59.1892820428595,0.028267833068234514
9,2024-07-10,U0000000,Baseline,58.25576368628581,0.026677554033268963
10,2024-07-11,U0000000,Baseline,62.44035329203316,0.022590448349419756
11,2024-07-12,U0000000,Baseline,58.75814331487551,0.02984435656901549
12,2024-07-13,U0000000,Baseline,57.424039342855295,0.035118407212993315
13,2024-07-14,U0000000,Baseline,60.14588073146766,0.012350677026149472
14,2024-07-15,U0000000,Baseline,57.00624842189138,0.04230718169950185
15,2024-07-16,U0000000,Baseline,61.47720677082561,0.015259513586020262
16,2024-07-17,U0000000,Baseline,54.984169264658945,0.04635509698193506
17,2024-07-18,U0000000,Baseline,60.2267983169814,0.034748449776742504
18,2024-07-19,U0000000,Baseline,61.28892389367683,0.02006081303480052
19,2024-07-20,U0000000,Baseline,64.33208497086167,0.02938766331970736
20,2024-07-21,U0000000,Baseline,56.686938346942995,0.03965928403493544
21,2024-07-22,U0000000,Baseline,63.269070212999466,0.018921400859282372
22,2024-07-23,U0000000,Baseline,64.42742244374924,0.04661915149404744
23,2024-07-24,U0000000,Baseline,61.30800051257562,0.03757387816612354
24,2024-07-25,U0000000,Baseline,58.2170776112958,0.02922013868124909
25,2024-07-26,U0000000,Baseline,58.349948867958496,0.027846798312832897
26,2024-07-27,U0000000,Baseline,64.11745829511516,0.019225080993078084
27,2024-07-28,U0000000,Baseline,61.13454257278382,0.030654038289289948
28,2024-07-29,U0000000,Baseline,59.98862989946574,0.014092336506431966
29,2024-07-30,U0000000,Baseline,58.431531683588126,0.042700716681460006
30,2024-07-31,U0000000,Baseline,57.091395559772096,0.01545121859855866
31,2024-08-01,U0000000,Baseline,60.90052466128148,0.03751828700178955
32,2024-08-02,U0000000,Baseline,55.68660005718918,0.030111143833379705
33,2024-08-03,U0000000,Baseline,58.14480215615449,0.04149387435111387
34,2024-08-04,U0000000,Baseline,63.03362252217687,0.02365885518750229
35,2024-08-05,U0000000,Baseline,63.35540556949146,0.044197003502280355
36,2024-08-06,U0000000,Baseline,56.235732306631,0.02190180949643059
37,2024-08-07,U0000000,Baseline,55.83653152369084,0.033490332859451875
38,2024-08-08,U0000000,Baseline,61.996653078768155,0.02438135040012391
39,2024-08-09,U0000000,Baseline,63.619531625788966,0.043294626403549835
40,2024-08-10,U0000000,Baseline,60.440783821485205,0.02156070081606175
41,2024-08-11,U0000000,Baseline,59.92927008653161,0.040533411869937225
42,2024-08-12,U0000000,Baseline,62.45780242459659,0.04054261305198723
